2.4	22
3.6	20
3.6	19
5.0	18
5.0	17
6.2	16
6.2	15
6.2	14
7.4	13
7.4	12
7.6	11
8.4	10
8.6	9
8.8	8
9.4	7
10.0	6
10.0	5
10.6	4
11.2	3
11.2	2
12.4	1
12.4	0
13.6	1
14.8	2
16.2	3
18.8	4
22.8	5
35.0	6
36.2	5
37.2	6
44.8	5
45.0	6
66.2	5
66.2	4
66.4	5
67.4	6
76.0	5
76.2	6
83.6	5
83.8	6
84.8	5
85.6	6
89.8	5
90.2	6
94.8	5
95.4	6
318.2	5
318.8	6
323.8	5
324.2	6
324.8	5
324.8	6
325.4	5
326.8	6
328.0	5
334.6	4
336.0	3
337.0	2
338.0	1
339.2	0
340.6	1
341.2	2
341.6	4
341.8	7
341.8	9
342.0	12
342.2	14
342.4	16
342.8	19
343.0	21
343.2	23
343.4	25
343.4	26
347.8	25
347.8	25
